
Buscando mesa en Conforama ... 
Número de intentos realizados: 0

Buscando mesa en IKEA ... 
         1214583 function calls (1189118 primitive calls) in 9.773 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:504(HTMLTreeBuilder)
        1    0.000    0.000    0.000    0.000 __init__.py:514(Formatter)
        2    0.000    0.000    0.000    0.000 __init__.py:540(__init__)
       82    0.000    0.000    0.000    0.000 __init__.py:554(__missing__)
        1    0.000    0.000    0.000    0.000 __init__.py:559(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:608(update)
        1    0.000    0.000    0.000    0.000 __init__.py:62(DOMException)
     5699    0.002    0.000    0.002    0.000 __init__.py:636(set_up_substitutions)
        2    0.000    0.000    0.494    0.247 __init__.py:650(_feed)
        2    0.000    0.000    0.000    0.000 __init__.py:666(reset)
       14    0.000    0.000    0.000    0.000 __init__.py:680(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:691(DetectsXMLParsedAsHTML)
        1    0.000    0.000    0.000    0.000 __init__.py:692(BufferingFormatter)
        1    0.000    0.000    0.002    0.002 __init__.py:70(search_function)
     3765    0.007    0.000    0.016    0.000 __init__.py:732(string_container)
        1    0.000    0.000    0.000    0.000 __init__.py:734(Filter)
        1    0.000    0.000    0.000    0.000 __init__.py:76(IndexSizeErr)
        2    0.000    0.000    0.000    0.000 __init__.py:765(_initialize_xml_detector)
        1    0.000    0.000    0.000    0.000 __init__.py:771(Filterer)
       17    0.000    0.000    0.000    0.000 __init__.py:776(__init__)
     5697    0.009    0.000    0.010    0.000 __init__.py:786(popTag)
        1    0.000    0.000    0.000    0.000 __init__.py:79(DomstringSizeErr)
        2    0.000    0.000    0.000    0.000 __init__.py:791(_root_tag_encountered)
     5699    0.012    0.000    0.013    0.000 __init__.py:809(pushTag)
        1    0.000    0.000    0.000    0.000 __init__.py:815(register_treebuilders_from)
        1    0.000    0.000    0.000    0.000 __init__.py:82(HierarchyRequestErr)
    11956    0.016    0.000    0.064    0.000 __init__.py:826(endData)
        4    0.000    0.000    0.000    0.000 __init__.py:843(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:85(WrongDocumentErr)
